id,name,code,parent_id/id,cpms,yqyt,pmjl,gllb
medical_device_category_07-10,附件、耗材,07-10,__import__.medical_device_category_07,,,,
medical_device_category_08-01,呼吸设备,08-01,__import__.medical_device_category_08,,,,
medical_device_category_08-02,麻醉器械,08-02,__import__.medical_device_category_08,,,,
medical_device_category_08-03,急救设备,08-03,__import__.medical_device_category_08,,,,
medical_device_category_08-04,医用制氧设备,08-04,__import__.medical_device_category_08,,,,
medical_device_category_08-05,呼吸、麻醉、急救设备辅助装置,08-05,__import__.medical_device_category_08,,,,
medical_device_category_08-06,呼吸、麻醉用管路、面罩,08-06,__import__.medical_device_category_08,,,,
medical_device_category_08-07,医用供气排气相关设备,08-07,__import__.medical_device_category_08,,,,
medical_device_category_09-01,电疗设备/器具,09-01,__import__.medical_device_category_09,,,,
medical_device_category_09-02,温热（冷）治疗设备/器具,09-02,__import__.medical_device_category_09,,,,
medical_device_category_09-03,光治疗设备,09-03,__import__.medical_device_category_09,,,,
medical_device_category_09-04,力疗设备/器具,09-04,__import__.medical_device_category_09,,,,
medical_device_category_09-05,磁疗设备/器具,09-05,__import__.medical_device_category_09,,,,
medical_device_category_09-06,超声治疗设备及附件,09-06,__import__.medical_device_category_09,,,,
medical_device_category_09-07,高频治疗设备,09-07,__import__.medical_device_category_09,,,,
medical_device_category_09-08,其他物理治疗设备,09-08,__import__.medical_device_category_09,,,,
medical_device_category_10-01,血液分离、处理、贮存设备,10-01,__import__.medical_device_category_10,,,,
medical_device_category_10-02,血液分离、处理、贮存器具,10-02,__import__.medical_device_category_10,,,,
medical_device_category_10-03,血液净化及腹膜透析设备,10-03,__import__.medical_device_category_10,,,,
medical_device_category_10-04,血液净化及腹膜透析器具,10-04,__import__.medical_device_category_10,,,,
medical_device_category_10-05,心肺转流设备,10-05,__import__.medical_device_category_10,,,,
medical_device_category_10-06,心肺转流器具,10-06,__import__.medical_device_category_10,,,,
medical_device_category_10-07,其他,10-07,__import__.medical_device_category_10,,,,
medical_device_category_11-01,湿热消毒灭菌设备,11-01,__import__.medical_device_category_11,,,,
medical_device_category_11-02,干热消毒灭菌设备,11-02,__import__.medical_device_category_11,,,,
medical_device_category_11-03,化学消毒灭菌设备,11-03,__import__.medical_device_category_11,,,,
medical_device_category_11-04,紫外线消毒设备,11-04,__import__.medical_device_category_11,,,,
medical_device_category_11-05,清洗消毒设备,11-05,__import__.medical_device_category_11,,,,
medical_device_category_12-01,心脏节律管理设备,12-01,__import__.medical_device_category_12,,,,
medical_device_category_12-02,神经调控设备,12-02,__import__.medical_device_category_12,,,,
medical_device_category_12-03,辅助位听觉设备,12-03,__import__.medical_device_category_12,,,,
medical_device_category_12-04,其他,12-04,__import__.medical_device_category_12,,,,
medical_device_category_13-01,骨接合植入物,13-01,__import__.medical_device_category_13,,,,
medical_device_category_13-02,运动损伤软组织修复重建及置换植入物,13-02,__import__.medical_device_category_13,,,,
medical_device_category_13-03,脊柱植入物,13-03,__import__.medical_device_category_13,,,,
medical_device_category_13-04,关节置换植入物,13-04,__import__.medical_device_category_13,,,,
medical_device_category_13-05,骨科填充和修复材料,13-05,__import__.medical_device_category_13,,,,
medical_device_category_13-06,神经内/外科植入物,13-06,__import__.medical_device_category_13,,,,
medical_device_category_13-07,心血管植入物,13-07,__import__.medical_device_category_13,,,,
medical_device_category_13-08,耳鼻喉植入物,13-08,__import__.medical_device_category_13,,,,
medical_device_category_13-09,整形及普通外科植入物,13-09,__import__.medical_device_category_13,,,,
medical_device_category_13-10,组织工程支架材料,13-10,__import__.medical_device_category_13,,,,
medical_device_category_13-11,其他,13-11,__import__.medical_device_category_13,,,,
medical_device_category_14-01,注射、穿刺器械,14-01,__import__.medical_device_category_14,,,,
medical_device_category_14-02,血管内输液器械,14-02,__import__.medical_device_category_14,,,,
medical_device_category_14-03,非血管内输液器械,14-03,__import__.medical_device_category_14,,,,
medical_device_category_14-04,止血器具,14-04,__import__.medical_device_category_14,,,,
medical_device_category_14-05,非血管内导（插）管,14-05,__import__.medical_device_category_14,,,,
medical_device_category_14-06,与非血管内导管配套用体外器械,14-06,__import__.medical_device_category_14,,,,
medical_device_category_14-07,清洗、灌洗、吸引、给药器械,14-07,__import__.medical_device_category_14,,,,
medical_device_category_14-08,可吸收外科敷料（材料）,14-08,__import__.medical_device_category_14,,,,
medical_device_category_14-09,不可吸收外科敷料,14-09,__import__.medical_device_category_14,,,,
medical_device_category_14-10,创面敷料,14-10,__import__.medical_device_category_14,,,,
medical_device_category_14-11,包扎敷料,14-11,__import__.medical_device_category_14,,,,
medical_device_category_14-12,造口、疤痕护理用品,14-12,__import__.medical_device_category_14,,,,
medical_device_category_14-13,手术室感染控制用品,14-13,__import__.medical_device_category_14,,,,
medical_device_category_14-14,医护人员防护用品,14-14,__import__.medical_device_category_14,,,,
medical_device_category_14-15,病人护理防护用品,14-15,__import__.medical_device_category_14,,,,
medical_device_category_14-16,其它器械,14-16,__import__.medical_device_category_14,,,,
medical_device_category_15-01,手术台,15-01,__import__.medical_device_category_15,,,,
medical_device_category_15-02,诊疗台,15-02,__import__.medical_device_category_15,,,,
medical_device_category_15-03,医用病床,15-03,__import__.medical_device_category_15,,,,
medical_device_category_15-04,患者位置固定辅助器械,15-04,__import__.medical_device_category_15,,,,
medical_device_category_15-05,患者转运器械,15-05,__import__.medical_device_category_15,,,,
medical_device_category_15-06,防压疮（褥疮）垫,15-06,__import__.medical_device_category_15,,,,
medical_device_category_16-01,眼科无源手术器械,16-01,__import__.medical_device_category_16,,,,
medical_device_category_16-02,眼科无源辅助手术器械,16-02,__import__.medical_device_category_16,,,,
medical_device_category_16-03,视光设备和器具,16-03,__import__.medical_device_category_16,,,,
medical_device_category_16-04,眼科测量诊断设备和器具,16-04,__import__.medical_device_category_16,,,,
medical_device_category_16-05,眼科治疗和手术设备、辅助器具,16-05,__import__.medical_device_category_16,,,,
medical_device_category_16-06,眼科矫治和防护器具,16-06,__import__.medical_device_category_16,,,,
medical_device_category_16-07,眼科植入物及辅助器械,16-07,__import__.medical_device_category_16,,,,
medical_device_category_17-01,口腔诊察设备,17-01,__import__.medical_device_category_17,,,,
medical_device_category_17-02,口腔诊察器具,17-02,__import__.medical_device_category_17,,,,
medical_device_category_17-03,口腔治疗设备,17-03,__import__.medical_device_category_17,,,,
medical_device_category_17-04,口腔治疗器具,17-04,__import__.medical_device_category_17,,,,
medical_device_category_17-05,口腔充填修复材料,17-05,__import__.medical_device_category_17,,,,
medical_device_category_17-06,口腔义齿制作材料,17-06,__import__.medical_device_category_17,,,,
medical_device_category_17-07,口腔正畸材料及制品,17-07,__import__.medical_device_category_17,,,,
medical_device_category_17-08,口腔植入及组织重建材料,17-08,__import__.medical_device_category_17,,,,
medical_device_category_17-09,口腔治疗辅助材料,17-09,__import__.medical_device_category_17,,,,
medical_device_category_17-10,其他口腔材料,17-10,__import__.medical_device_category_17,,,,
medical_device_category_18-01,妇产科手术器械,18-01,__import__.medical_device_category_18,,,,
medical_device_category_18-02,妇产科测量、监护设备,18-02,__import__.medical_device_category_18,,,,
medical_device_category_18-03,妇产科诊断器械,18-03,__import__.medical_device_category_18,,,,
medical_device_category_18-04,妇产科治疗器械,18-04,__import__.medical_device_category_18,,,,
medical_device_category_18-05,妇产科承载器械,18-05,__import__.medical_device_category_18,,,,
medical_device_category_18-06,避孕节育器械,18-06,__import__.medical_device_category_18,,,,
medical_device_category_18-07,辅助生殖器械,18-07,__import__.medical_device_category_18,,,,
medical_device_category_19-01,认知言语视听障碍康复设备,19-01,__import__.medical_device_category_19,,,,
medical_device_category_19-02,运动康复训练器械,19-02,__import__.medical_device_category_19,,,,
medical_device_category_19-03,助行器械,19-03,__import__.medical_device_category_19,,,,
medical_device_category_19-04,矫形固定器械,19-04,__import__.medical_device_category_19,,,,
medical_device_category_20-01,中医诊断设备,20-01,__import__.medical_device_category_20,,,,
medical_device_category_20-02,中医治疗设备,20-02,__import__.medical_device_category_20,,,,
medical_device_category_20-03,中医器具,20-03,__import__.medical_device_category_20,,,,
medical_device_category_21-01,治疗计划软件,21-01,__import__.medical_device_category_21,,,,
medical_device_category_21-02,影像处理软件,21-02,__import__.medical_device_category_21,,,,
medical_device_category_21-03,数据处理软件,21-03,__import__.medical_device_category_21,,,,
medical_device_category_21-04,决策支持软件,21-04,__import__.medical_device_category_21,,,,
medical_device_category_21-05,体外诊断类软件,21-05,__import__.medical_device_category_21,,,,
medical_device_category_21-06,其他,21-06,__import__.medical_device_category_21,,,,
medical_device_category_22-01,血液学分析设备,22-01,__import__.medical_device_category_22,,,,
medical_device_category_22-02,生化分析设备,22-02,__import__.medical_device_category_22,,,,
medical_device_category_22-03,电解质及血气分析设备,22-03,__import__.medical_device_category_22,,,,
medical_device_category_22-04,免疫分析设备,22-04,__import__.medical_device_category_22,,,,
medical_device_category_22-05,分子生物学分析设备,22-05,__import__.medical_device_category_22,,,,
medical_device_category_22-06,微生物分析设备,22-06,__import__.medical_device_category_22,,,,
medical_device_category_22-07,扫描图像分析系统,22-07,__import__.medical_device_category_22,,,,
medical_device_category_22-08,放射性核素标本测定装置,22-08,__import__.medical_device_category_22,,,,
medical_device_category_22-09,尿液及其他样本分析设备,22-09,__import__.medical_device_category_22,,,,
medical_device_category_22-10,其他医用分析设备,22-10,__import__.medical_device_category_22,,,,
medical_device_category_22-11,采样设备和器具,22-11,__import__.medical_device_category_22,,,,
medical_device_category_22-12,分析前样本处理设备,22-12,__import__.medical_device_category_22,,,,
medical_device_category_22-13,样本分离设备,22-13,__import__.medical_device_category_22,,,,
medical_device_category_22-14,培养与孵育设备,22-14,__import__.medical_device_category_22,,,,
medical_device_category_22-15,检验及其他辅助设备,22-15,__import__.medical_device_category_22,,,,
medical_device_category_22-16,医用生物防护设备,22-16,__import__.medical_device_category_22,,,,
medical_device_category_01-01-01,1 超声手术设备,01-01-01,__import__.medical_device_category_01-01,通常由超声波发生器和带有外科尖端的手持部件组成，手持部件通常由一个换能器、一个连接构件和一个治疗头尖端组成。,用于软组织的切割、止血、整形。,软组织超声手术仪、外科超声手术系统、超声手术系统、超声切割止血刀系统、软组织超声手术系统、超声手术刀、超声刀系统,Ⅲ
medical_device_category_01-01-01,2 超声手术设备,01-01-01,__import__.medical_device_category_01-01,通常由主机、换能器和负压吸引装置组成，运用超声波能量使人体组织有选择性地被破碎，使其呈乳化态，同时利用负压吸除已经乳化的组织细胞。,用于人体软组织的破碎、乳化。,超声脂肪乳化仪、超声外科吸引系统、软组织超声手术仪、软组织超声手术系统,Ⅲ
medical_device_category_01-01-01,3 超声手术设备,01-01-01,__import__.medical_device_category_01-01,通常由超声波发生器、手柄、刀头和冲洗部分组成，利用压电效应或者磁致伸缩效应将电能转化为超声能，通过刀头将超声振动作用于骨组织以达到切割和破碎目的。,用于骨组织（包括牙齿）的切割和破碎。,超声骨科手术仪、超声骨组织手术系统,Ⅲ
medical_device_category_01-01-01,4 超声手术设备,01-01-01,__import__.medical_device_category_01-01,通常由主机、换能器、负压吸引和灌注装置组成，在内窥镜直视下将超声碎石头（变幅杆）接触结石，利用超声波能量将其击碎，并利用液体灌注、负压吸引将碎石排出体外。,用于泌尿系统结石的破碎。,超声碎石系统,Ⅲ
medical_device_category_01-01-02,1 高强度超声治疗设备,01-01-02,__import__.medical_device_category_01-01,通常由超声功率发生器、治疗头、控制装置等组成，一般采用聚焦或弱聚焦超声波。超声强度一般不超过1000W/cm2。,用于手术及辅助治疗。,超声治疗仪、超声治疗系统、减脂聚焦超声治疗系统,Ⅲ
medical_device_category_01-01-02,2 高强度超声治疗设备,01-01-02,__import__.medical_device_category_01-01,通常由超声功率发生器、治疗头、声耦合装置、测位装置、定位装置、控制装置、患者承载装置和水处理及水温控制装置组成。由单元换能器或多元换能器阵列构成的聚焦超声声源，发出的超声通过传声媒质后，以人体正常组织可接受的声强透过患者体表，将能量聚集在靶组织上，致其凝固性坏死（或瞬间灭活）的治疗系统。超声强度超过1000W/cm2。,用于手术治疗中人体组织的凝固性坏死（或瞬间灭活）。,磁共振引导高强度聚焦超声治疗系统、肿瘤消融聚焦超声治疗系统、肿瘤聚焦超声治疗系统、肿瘤高强度聚焦超声治疗系统,Ⅲ
medical_device_category_01-01-03,1 超声手术设备附件,01-01-03,__import__.medical_device_category_01-01,通常由手柄、波导杆、套管、组织垫等组成，手柄形状分为夹钳式、握式、剪式等。,用于手术中对血管、软组织及器官进行切割、止血和血管闭合。配合超声软组织手术设备主机使用。,超声切割止血刀头、超声软组织手术刀头、超声吸引手术刀头,Ⅲ
medical_device_category_01-01-03,2 超声手术设备附件,01-01-03,__import__.medical_device_category_01-01,通常由连接部位和治疗头组成。,用于手术中骨组织（包括牙齿）的切割和破碎。配合超声骨组织手术设备主机使用。,超声骨组织手术刀头、牙科超声治疗仪用刀头,Ⅱ
medical_device_category_01-02-01,激光手术设备,01-02-01,__import__.medical_device_category_01-02,通常由激光器、冷却装置、传输装置、目标指示装置、控制装置、防护装置等部分组成。利用激光与生物组织的相互作用机理进行手术治疗。,用于对机体组织进行汽化、碳化、凝固，以达到手术治疗的目的。,钬（Ho:YAG）激光治疗机、掺钕钇铝石榴石激光治疗机、掺铥光纤激光治疗仪、半导体激光治疗机、二氧化碳激光治疗机,Ⅲ
medical_device_category_01-02-02,医用激光光纤,01-02-02,__import__.medical_device_category_01-02,通常由光纤、激光器连接接口和手持部组成。,用于传输激光能量。,医用激光光纤、无菌医用激光光纤,Ⅱ
medical_device_category_01-03-01,1 高频手术设备,01-03-01,__import__.medical_device_category_01-03,通常由高频发生器、手术手柄、手术电极（包括中性电极）、连接电缆和脚踏开关组成。在两个电极之间产生高频（通常高于200kHz）电流。,用于外科手术中对相应组织进行切割和凝固。,高频电刀、高频手术器、双极电凝固器、双极电凝器、高频手术系统、高频电外科手术系统、等离子手术设备,Ⅲ
medical_device_category_01-03-01,2 高频手术设备,01-03-01,__import__.medical_device_category_01-03,通常由高频发生器、手术手柄、手术电极、连接电缆和脚踏开关组成。在两个电极之间产生高频（通常高于200kHz）电流。,仅用于皮肤科、耳鼻喉科、妇科和肛肠科浅表部位的手术中，对相应组织进行凝固、使组织变性和/或坏死。,高频电灼仪,Ⅱ
medical_device_category_01-03-02,射频消融设备,01-03-02,__import__.medical_device_category_01-03,通常由射频发生器，射频电极、电缆、中性电极和脚踏开关组成。在电极间产生射频电流。,用于组织和器官（心脏、肝脏、前列腺、妇科和耳鼻喉等）的消融和凝固。,射频治疗仪、射频消融治疗仪、射频热凝器、射频消融发生器、射频消融系统、心脏消融系统,Ⅲ
medical_device_category_01-03-03,氩保护气凝设备,01-03-03,__import__.medical_device_category_01-03,通常由主机、手术输出端口、开关检测器、氩气源等组成，需要配合高频手术设备使用。,用于配合高频手术设备，利用氩气电离效果用于大面积流血面的快速均匀凝固，或利用氩气隔离空气用于减轻组织烟雾和碳化形成。,氩气控制器,Ⅱ
medical_device_category_01-03-04,1 高频/射频用电极及导管,01-03-04,__import__.medical_device_category_01-03,通常配合高频/射频手术设备使用的附件。使电流从高频/射频发生器流入或流出患者的终端，用于在手术时对组织进行切割，或使组织坏死、血液凝固等。该类附件可以是手术端的，即作为发生器的终端，用于发出电流，施行手术；也可以是返回端的，即不用于提供能量，而用于使电流返回发生器。,用于与射频发生器配合使用。以导管等形式通过血管和腔道，将射频能量作用于目标组织，对组织实施切割、消融等作用的射频附件。,消融导管、射频消融导管、双向消融术导管、温控消融导管、诊断/消融可调弯头端导管,Ⅲ
medical_device_category_01-03-04,2 高频/射频用电极及导管,01-03-04,__import__.medical_device_category_01-03,通常配合高频/射频手术设备使用的附件。使电流从高频/射频发生器流入或流出患者的终端，用于在手术时对组织进行切割，或使组织坏死、血液凝固等。该类附件可以是手术端的，即作为发生器的终端，用于发出电流，施行手术；也可以是返回端的，即不用于提供能量，而用于使电流返回发生器。,用于内窥镜外科手术中，与高频/射频手术设备配合使用。作为高频/射频手术设备的附件对目标组织实施切割、消融、凝血等作用。,电凝手术剪、电凝手术钳、双极电凝钳、高频切开刀、等离子凝开刀、热活检钳,Ⅲ
medical_device_category_01-03-04,3 高频/射频用电极及导管,01-03-04,__import__.medical_device_category_01-03,通常配合高频/射频手术设备使用的附件。使电流从高频/射频发生器流入或流出患者的终端，用于在手术时对组织进行切割，或使组织坏死、血液凝固等。该类附件可以是手术端的，即作为发生器的终端，用于发出电流，施行手术；也可以是返回端的，即不用于提供能量，而用于使电流返回发生器。,用于非内窥镜外科手术中，与高频/射频手术设备配合使用。作为高频/射频手术设备的附件对目标组织实施切割、消融、凝血等作用；或与患者身体相连，具有相对较大面积的电极，预期为高频电流提供一个低电流密度的返回通道，以防止在人体组织中产生不希望的灼伤等物理效应的高频附件。,高频手术电极、中性电极、随弃式中性极板、双极电极、消融电极、射频消融电极、射频凝闭电极、一次性使用手术电极,Ⅱ
medical_device_category_01-03-05,射频消融设备用灌注泵,01-03-05,__import__.medical_device_category_01-03,通常由主机、控制器和电缆组成。,通常用于降低消融区域与患者接触部分的温度。与射频消融设备配套使用。,射频灌注泵,Ⅱ
medical_device_category_01-04-01,微波手术设备,01-04-01,__import__.medical_device_category_01-04,通常由微波发生源、微波传输线缆和热凝器（手术电极、消融针等）组成，利用工作频率0.3GHz～30GHz的微波辐射能量进行手术治疗的设备。,用于手术中的止血，和对增生或病变组织进行凝固。,微波手术刀、微波消融仪、微波消融治疗仪,Ⅲ
medical_device_category_01-05-01,冷冻手术设备,01-05-01,__import__.medical_device_category_01-05,通常由低温工质、升温装置、储存容器、控制系统主机和探针组成。探针直接作用于人体治疗部位。,用于采用冷冻/快速升温方式对局部组织进行冷冻手术治疗。,低温手术设备、低温冷冻治疗系统、冷冻手术治疗机、冷冻治疗仪、冷冻消融系统、冷冻消融仪、冷冻减脂仪,Ⅲ
medical_device_category_01-05-02,冷冻消融针及导管,01-05-02,__import__.medical_device_category_01-05,通常由手柄、导管、冷却部分组成。,用于配合冷冻消融设备对局部组织进行冷冻消融。,冷冻消融针、冷冻消融导管,Ⅲ
medical_device_category_01-06-01,冲击波碎石机,01-06-01,__import__.medical_device_category_01-06,通常由波源发生系统、定位系统、水系统、三维运动系统和辅助系统组成。通过经过聚焦的具有高能量的压力脉冲对结石的应力作用，引起结石的开裂和破碎。冲击波在发生形式上可以分成压电式、液电式和电磁式。,产生的压力脉冲波在患者体内碎石。,体外引发碎石设备、冲击波碎石机、电磁式体外冲击波碎石机、液电式碎石设备、体内冲击波碎石机,Ⅲ
